name,email,gender,GPA
Stanley Kong,stanley.kong.2013@sis.eunoia.edu.sg,M,2.23
Purnam Pillay,purnam.pillay.2013@business.eunoia.edu.sg,F,2.23
Nelson Kong,nelson.kong.2013@sis.eunoia.edu.sg,M,2.23
Wayne Kong,wayne.kong.2010@sis.eunoia.edu.sg,M,2.24
Virginia LAM,virginia.lam.2014@sis.eunoia.edu.sg,F,2.24
Shalaka Pillay,shalaka.pillay.2013@business.eunoia.edu.sg,F,2.24
Sarasvati Pillay,sarasvati.pillay.2013@business.eunoia.edu.sg,F,2.24
Marshall Kong,marshall.kong.2010@sis.eunoia.edu.sg,M,2.24
Violette LAM,violette.lam.2014@sis.eunoia.edu.sg,F,2.25
Unity WONG,unity.wong.2010@law.eunoia.edu.sg,M,2.25
Una LAM,una.lam.2014@sis.eunoia.edu.sg,F,2.25
Ujwala Pillay,ujwala.pillay.2013@business.eunoia.edu.sg,F,2.25
Shraddha Pillay,shraddha.pillay.2012@business.eunoia.edu.sg,F,2.25
Sara LAM,sara.lam.2012@sis.eunoia.edu.sg,F,2.25
Rosamund LAM,rosamund.lam.2014@sis.eunoia.edu.sg,F,2.25
Rosalind LAM,rosalind.lam.2014@sis.eunoia.edu.sg,F,2.25
Ronald Kong,ronald.kong.2012@sis.eunoia.edu.sg,M,2.25
Phillip Kong,phillip.kong.2013@sis.eunoia.edu.sg,M,2.25
Olive LAM,olive.lam.2013@sis.eunoia.edu.sg,F,2.25
Vaibhav Pillay,vaibhav.pillay.2010@business.eunoia.edu.sg,F,2.26
Suresh Pillay,suresh.pillay.2011@business.eunoia.edu.sg,F,2.26
Sibyl LAM,sibyl.lam.2014@sis.eunoia.edu.sg,F,2.26
Shubhashree Pillay,shubhashree.pillay.2010@business.eunoia.edu.sg,F,2.26
Roy Kong,roy.kong.2011@sis.eunoia.edu.sg,M,2.26
Ram Pillay,ram.pillay.2013@business.eunoia.edu.sg,F,2.26
Prajakta Pillay,prajakta.pillay.2013@business.eunoia.edu.sg,F,2.26
Prachi Pillay,prachi.pillay.2012@business.eunoia.edu.sg,F,2.26
Neha Pillay,neha.pillay.2010@business.eunoia.edu.sg,F,2.26
Vaidehi Pillay,vaidehi.pillay.2012@business.eunoia.edu.sg,F,2.28
Theerth Pillay,theerth.pillay.2014@business.eunoia.edu.sg,F,2.28
Sridhar Pillay,sridhar.pillay.2011@business.eunoia.edu.sg,F,2.28
Roy WONG,roy.wong.2011@law.eunoia.edu.sg,M,2.28
Reina LAM,reina.lam.2014@sis.eunoia.edu.sg,F,2.28
Priyamvadha Pillay,priyamvadha.pillay.2013@business.eunoia.edu.sg,F,2.28
Oonah LAM,oonah.lam.2011@sis.eunoia.edu.sg,F,2.28
Nihal Pillay,nihal.pillay.2011@business.eunoia.edu.sg,F,2.28
Mayme LAM,mayme.lam.2010@sis.eunoia.edu.sg,F,2.28
Vinu Pillay,vinu.pillay.2010@business.eunoia.edu.sg,F,2.29
Tillie LAM,tillie.lam.2011@sis.eunoia.edu.sg,F,2.29
Santhosh Pillay,santhosh.pillay.2014@business.eunoia.edu.sg,F,2.29
Rhoda LAM,rhoda.lam.2013@sis.eunoia.edu.sg,F,2.29
Maura LAM,maura.lam.2013@sis.eunoia.edu.sg,F,2.29
Mercy LAM,mercy.lam.2014@sis.eunoia.edu.sg,F,2.3
Ted Kong,ted.kong.2013@sis.eunoia.edu.sg,M,2.32
Sylvia LAM,sylvia.lam.2010@sis.eunoia.edu.sg,F,2.32
Snigdha Pillay,snigdha.pillay.2013@business.eunoia.edu.sg,F,2.32
Rasika Pillay,rasika.pillay.2010@business.eunoia.edu.sg,F,2.32
Ramu Pillay,ramu.pillay.2011@business.eunoia.edu.sg,F,2.32
Prathap Pillay,prathap.pillay.2012@business.eunoia.edu.sg,F,2.32
Surya  Pillay,surya.pillay.2010@business.eunoia.edu.sg,F,2.33
Siddharth Pillay,siddharth.pillay.2013@business.eunoia.edu.sg,F,2.33
Rama Pillay,rama.pillay.2013@business.eunoia.edu.sg,F,2.33
Prajna Pillay,prajna.pillay.2013@business.eunoia.edu.sg,F,2.33
Yashovardhan Pillay,yashovardhan.pillay.2010@business.eunoia.edu.sg,F,2.34
Vincent Kong,vincent.kong.2014@sis.eunoia.edu.sg,M,2.34
Shirishgauri Pillay,shirishgauri.pillay.2013@business.eunoia.edu.sg,F,2.34
Sankalp Pillay,sankalp.pillay.2011@business.eunoia.edu.sg,F,2.34
Maynard Kong,maynard.kong.2012@sis.eunoia.edu.sg,M,2.34
Stewart Kong,stewart.kong.2011@sis.eunoia.edu.sg,M,2.36
Rachel LAM,rachel.lam.2010@sis.eunoia.edu.sg,F,2.36
Muralidharan Pillay,muralidharan.pillay.2010@business.eunoia.edu.sg,F,2.36
Wilbert Kong,wilbert.kong.2013@sis.eunoia.edu.sg,M,2.37
Sooraj Pillay,sooraj.pillay.2013@business.eunoia.edu.sg,F,2.37
Shane Kong,shane.kong.2011@sis.eunoia.edu.sg,M,2.37
Preeta Pillay,preeta.pillay.2011@business.eunoia.edu.sg,F,2.37
Nikhil Pillay,nikhil.pillay.2010@business.eunoia.edu.sg,F,2.37
Winston Kong,winston.kong.2014@sis.eunoia.edu.sg,M,2.38
Wilma LAM,wilma.lam.2010@sis.eunoia.edu.sg,F,2.38
Vikas Pillay,vikas.pillay.2012@business.eunoia.edu.sg,F,2.38
Sheetal Pillay,sheetal.pillay.2014@business.eunoia.edu.sg,F,2.38
Shashi Pillay,shashi.pillay.2010@business.eunoia.edu.sg,F,2.38
Samyukta Pillay,samyukta.pillay.2010@business.eunoia.edu.sg,F,2.38
Padmanabh Pillay,padmanabh.pillay.2013@business.eunoia.edu.sg,F,2.38
Mona LAM,mona.lam.2014@sis.eunoia.edu.sg,F,2.38
Zorro Fan,zorro.fan.2010@economics.eunoia.edu.sg,F,2.4
Vanessa LAM,vanessa.lam.2012@sis.eunoia.edu.sg,F,2.4
Shridhar Pillay,shridhar.pillay.2012@business.eunoia.edu.sg,F,2.41
Polly LAM,polly.lam.2013@sis.eunoia.edu.sg,F,2.41
Theodora LAM,theodora.lam.2013@sis.eunoia.edu.sg,F,2.42
Rekha Pillay,rekha.pillay.2010@business.eunoia.edu.sg,F,2.42
Maria LAM,maria.lam.2014@sis.eunoia.edu.sg,F,2.42
Vibhu Pillay,vibhu.pillay.2013@business.eunoia.edu.sg,F,2.43
Sures Pillay,sures.pillay.2013@business.eunoia.edu.sg,F,2.43
Salome LAM,salome.lam.2014@sis.eunoia.edu.sg,F,2.43
Ralph Kong,ralph.kong.2011@sis.eunoia.edu.sg,M,2.43
Matthew Kong,matthew.kong.2013@sis.eunoia.edu.sg,M,2.43
Vinay Pillay,vinay.pillay.2012@business.eunoia.edu.sg,F,2.44
Sanford Kong,sanford.kong.2014@sis.eunoia.edu.sg,M,2.44
"Olivier Kong  aka ""Ah Lian""",olivier.kong.2013@sis.eunoia.edu.sg,M,2.44
Norman Kong,norman.kong.2013@sis.eunoia.edu.sg,M,2.44
Michelle LAM,michelle.lam.2013@sis.eunoia.edu.sg,F,2.44
Meghna Pillay,meghna.pillay.2013@business.eunoia.edu.sg,F,2.44
Maisie LAM,maisie.lam.2013@sis.eunoia.edu.sg,F,2.44
Sushir Pillay,sushir.pillay.2012@business.eunoia.edu.sg,F,2.45
Raman Pillay,raman.pillay.2013@business.eunoia.edu.sg,F,2.45
Merle Kong,merle.kong.2014@sis.eunoia.edu.sg,M,2.45
Meinrad Kong,meinrad.kong.2011@sis.eunoia.edu.sg,M,2.45
Viveka Pillay,viveka.pillay.2014@business.eunoia.edu.sg,F,2.46
Victoria LAM,victoria.lam.2011@sis.eunoia.edu.sg,F,2.46
Tushar Pillay,tushar.pillay.2013@business.eunoia.edu.sg,F,2.46
Saul Kong,saul.kong.2014@sis.eunoia.edu.sg,M,2.46
Samarchita Pillay,samarchita.pillay.2011@business.eunoia.edu.sg,F,2.46
Rohan Pillay,rohan.pillay.2013@business.eunoia.edu.sg,F,2.46
Percy Kong,percy.kong.2014@sis.eunoia.edu.sg,M,2.46
Nishant Pillay,nishant.pillay.2013@business.eunoia.edu.sg,F,2.46
Theodoric Kong,theodoric.kong.2012@sis.eunoia.edu.sg,M,2.49
Reuben Kong,reuben.kong.2013@sis.eunoia.edu.sg,M,2.49
Vernon Kong,vernon.kong.2010@sis.eunoia.edu.sg,M,2.5
Vandana Pillay,vandana.pillay.2010@business.eunoia.edu.sg,F,2.5
Simona LAM,simona.lam.2013@sis.eunoia.edu.sg,F,2.5
Saket Pillay,saket.pillay.2012@business.eunoia.edu.sg,F,2.5
Rufus Kong,rufus.kong.2014@sis.eunoia.edu.sg,M,2.5
Pranay Pillay,pranay.pillay.2013@business.eunoia.edu.sg,F,2.5
Mira Pillay,mira.pillay.2013@business.eunoia.edu.sg,F,2.5
Shrinivas Pillay,shrinivas.pillay.2010@business.eunoia.edu.sg,F,2.51
Poornima Pillay,poornima.pillay.2011@business.eunoia.edu.sg,F,2.51
Neema Pillay,neema.pillay.2010@business.eunoia.edu.sg,F,2.51
Varun Pillay,varun.pillay.2013@business.eunoia.edu.sg,F,2.52
Soumen Pillay,soumen.pillay.2013@business.eunoia.edu.sg,F,2.52
Shreedhan Pillay,shreedhan.pillay.2010@business.eunoia.edu.sg,F,2.52
Shree Pillay,shree.pillay.2011@business.eunoia.edu.sg,F,2.52
Sabyasachi Pillay,sabyasachi.pillay.2013@business.eunoia.edu.sg,F,2.52
Prema Pillay,prema.pillay.2013@business.eunoia.edu.sg,F,2.52
Philomena LAM,philomena.lam.2013@sis.eunoia.edu.sg,F,2.52
Phillis LAM,phillis.lam.2014@sis.eunoia.edu.sg,F,2.52
Murali Pillay,murali.pillay.2011@business.eunoia.edu.sg,F,2.52
Matthias Kong,matthias.kong.2013@sis.eunoia.edu.sg,M,2.52
Timothy Kong,timothy.kong.2011@sis.eunoia.edu.sg,M,2.53
Tess LAM,tess.lam.2014@sis.eunoia.edu.sg,F,2.53
Steven Kong,steven.kong.2012@sis.eunoia.edu.sg,M,2.53
Richard Kong,richard.kong.2011@sis.eunoia.edu.sg,M,2.53
Rawan Pillay,rawan.pillay.2011@business.eunoia.edu.sg,F,2.53
Quitter Fan,quitter.fan.2014@economics.eunoia.edu.sg,M,2.53
Paul Fan,paul.fan.2011@economics.eunoia.edu.sg,M,2.53
Zoa LAM,zoa.lam.2013@sis.eunoia.edu.sg,F,2.54
Willis Kong,willis.kong.2014@sis.eunoia.edu.sg,M,2.54
Viswanath Pillay,viswanath.pillay.2011@business.eunoia.edu.sg,F,2.54
Varad Pillay,varad.pillay.2013@business.eunoia.edu.sg,F,2.54
Tobias Kong,tobias.kong.2010@sis.eunoia.edu.sg,M,2.54
Shashank Pillay,shashank.pillay.2011@business.eunoia.edu.sg,F,2.54
Satya Pillay,satya.pillay.2013@business.eunoia.edu.sg,F,2.54
Russel Kong,russel.kong.2013@sis.eunoia.edu.sg,M,2.54
Olivia LAM,olivia.lam.2013@sis.eunoia.edu.sg,F,2.54
Mae LAM,mae.lam.2014@sis.eunoia.edu.sg,F,2.54
Warren Kong,warren.kong.2011@sis.eunoia.edu.sg,M,2.55
Vaughan Kong,vaughan.kong.2011@sis.eunoia.edu.sg,M,2.55
Seymour Kong,seymour.kong.2012@sis.eunoia.edu.sg,M,2.55
Sadhana Pillay,sadhana.pillay.2011@business.eunoia.edu.sg,F,2.55
Nakul Pillay,nakul.pillay.2013@business.eunoia.edu.sg,F,2.55
Marguerite LAM,marguerite.lam.2014@sis.eunoia.edu.sg,F,2.55
Udayan Pillay,udayan.pillay.2012@business.eunoia.edu.sg,F,2.56
"Tina, LAM",tina.lam.2011@sis.eunoia.edu.sg,F,2.56
Subrahmanyam Pillay,subrahmanyam.pillay.2010@business.eunoia.edu.sg,F,2.56
Sophie LAM,sophie.lam.2013@sis.eunoia.edu.sg,F,2.56
Romil Pillay,romil.pillay.2013@business.eunoia.edu.sg,F,2.56
Rishi Pillay,rishi.pillay.2013@business.eunoia.edu.sg,F,2.56
Radhika Pillay,radhika.pillay.2010@business.eunoia.edu.sg,F,2.56
Preeti Pillay,preeti.pillay.2014@business.eunoia.edu.sg,F,2.56
Nikhil Pillay,nikhil.pillay.2011@business.eunoia.edu.sg,F,2.56
Sonia LAM,sonia.lam.2011@sis.eunoia.edu.sg,F,2.57
Pratyush Pillay,pratyush.pillay.2010@business.eunoia.edu.sg,F,2.57
Mohit Pillay,mohit.pillay.2013@business.eunoia.edu.sg,F,2.57
Marianne LAM,marianne.lam.2014@sis.eunoia.edu.sg,F,2.57
Utpala Pillay,utpala.pillay.2012@business.eunoia.edu.sg,F,2.58
Ulysses Kong,ulysses.kong.2013@sis.eunoia.edu.sg,M,2.58
Tony Kong,tony.kong.2013@sis.eunoia.edu.sg,M,2.58
Sneha Pillay,sneha.pillay.2013@business.eunoia.edu.sg,F,2.58
Silas Kong,silas.kong.2014@sis.eunoia.edu.sg,M,2.58
Rowena LAM,rowena.lam.2011@sis.eunoia.edu.sg,F,2.58
Rosalba LAM,rosalba.lam.2010@sis.eunoia.edu.sg,F,2.58
Robin Kong,robin.kong.2010@sis.eunoia.edu.sg,M,2.58
Prashant Pillay,prashant.pillay.2010@business.eunoia.edu.sg,F,2.58
Pramit Pillay,pramit.pillay.2013@business.eunoia.edu.sg,F,2.58
Oswold Kong,oswold.kong.2014@sis.eunoia.edu.sg,M,2.58
Noel LAM,noel.lam.2010@sis.eunoia.edu.sg,F,2.58
Nihar Pillay,nihar.pillay.2010@business.eunoia.edu.sg,F,2.58
Nana LAM,nana.lam.2011@sis.eunoia.edu.sg,F,2.58
Mridul Pillay,mridul.pillay.2012@business.eunoia.edu.sg,F,2.58
Waldo Kong,waldo.kong.2013@sis.eunoia.edu.sg,M,2.59
Surendhar Pillay,surendhar.pillay.2012@business.eunoia.edu.sg,F,2.59
Sriram Pillay,sriram.pillay.2011@business.eunoia.edu.sg,F,2.59
Shweta Pillay,shweta.pillay.2013@business.eunoia.edu.sg,F,2.59
Seamus Kong,seamus.kong.2013@sis.eunoia.edu.sg,M,2.59
Rakesh Pillay,rakesh.pillay.2013@business.eunoia.edu.sg,F,2.59
Puganeshwary Pillay,puganeshwary.pillay.2013@business.eunoia.edu.sg,F,2.59
Pragati Pillay,pragati.pillay.2014@business.eunoia.edu.sg,F,2.59
Paras Pillay,paras.pillay.2010@business.eunoia.edu.sg,F,2.59
Melvin Kong,melvin.kong.2010@sis.eunoia.edu.sg,M,2.59
Mary LAM,mary.lam.2013@sis.eunoia.edu.sg,F,2.59
Zita LAM,zita.lam.2013@sis.eunoia.edu.sg,F,2.6
Vinatha Pillay,vinatha.pillay.2010@business.eunoia.edu.sg,F,2.6
Tina Pillay,tina.pillay.2014@business.eunoia.edu.sg,F,2.6
Sandy Kong,sandy.kong.2010@sis.eunoia.edu.sg,M,2.6
Manoj Pillay,manoj.pillay.2011@business.eunoia.edu.sg,F,2.6
Magdalen LAM,magdalen.lam.2014@sis.eunoia.edu.sg,F,2.6
Winne WONG,winnie.wong.2011@law.eunoia.edu.sg,F,2.61
Uriah Kong,uriah.kong.2013@sis.eunoia.edu.sg,M,2.61
Sheela Pillay,sheela.pillay.2010@business.eunoia.edu.sg,F,2.61
Rosanne LAM,rosanne.lam.2014@sis.eunoia.edu.sg,F,2.61
Naveed Pillay,naveed.pillay.2013@business.eunoia.edu.sg,F,2.61
Meredith Kong,meredith.kong.2014@sis.eunoia.edu.sg,M,2.61
Timothy WONG,timothy.wong.2014@law.eunoia.edu.sg,M,2.62
Srinath Pillay,srinath.pillay.2011@business.eunoia.edu.sg,F,2.62
Rishad Pillay,rishad.pillay.2013@business.eunoia.edu.sg,F,2.62
Protima Pillay,protima.pillay.2013@business.eunoia.edu.sg,F,2.62
Miriam LAM,miriam.lam.2014@sis.eunoia.edu.sg,F,2.62
Magdalene LAM,magdalene.lam.2014@sis.eunoia.edu.sg,F,2.62
Yash Pillay,yash.pillay.2012@business.eunoia.edu.sg,F,2.63
Wenceslaus Kong,wenceslaus.kong.2014@sis.eunoia.edu.sg,M,2.63
Sinclair Kong,sinclair.kong.2013@sis.eunoia.edu.sg,M,2.63
Shuili Pillay,shuili.pillay.2014@business.eunoia.edu.sg,F,2.63
Shilpi Pillay,shilpi.pillay.2013@business.eunoia.edu.sg,F,2.63
Shalmali Pillay,shalmali.pillay.2013@business.eunoia.edu.sg,F,2.63
Pranil Pillay,pranil.pillay.2013@business.eunoia.edu.sg,F,2.63
Pradeep Pillay,pradeep.pillay.2011@business.eunoia.edu.sg,F,2.63
Nora LAM,nora.lam.2011@sis.eunoia.edu.sg,F,2.63
Vanya Pillay,vanya.pillay.2014@business.eunoia.edu.sg,F,2.64
Suzanne LAM,suzanne.lam.2012@sis.eunoia.edu.sg,F,2.64
Rupert Kong,rupert.kong.2013@sis.eunoia.edu.sg,M,2.64
Ramdev Pillay,ramdev.pillay.2013@business.eunoia.edu.sg,F,2.64
Perry Kong,perry.kong.2013@sis.eunoia.edu.sg,M,2.64
Naresh Pillay,naresh.pillay.2013@business.eunoia.edu.sg,F,2.64
Mark Kong,mark.kong.2011@sis.eunoia.edu.sg,M,2.64
Vivian Kong,vivian.kong.2013@sis.eunoia.edu.sg,M,2.65
Vijay Pillay,vijay.pillay.2013@business.eunoia.edu.sg,F,2.65
Saumya Pillay,saumya.pillay.2013@business.eunoia.edu.sg,F,2.65
Sampson Kong,sampson.kong.2012@sis.eunoia.edu.sg,M,2.65
Pearl LAM,pearl.lam.2013@sis.eunoia.edu.sg,F,2.65
Manjula Pillay,manjula.pillay.2011@business.eunoia.edu.sg,F,2.65
Madison LAM,madison.lam.2014@sis.eunoia.edu.sg,F,2.65
Yashpal Pillay,yashpal.pillay.2012@business.eunoia.edu.sg,F,2.66
Stuart Kong,stuart.kong.2011@sis.eunoia.edu.sg,M,2.66
Shirley LAM,shirley.lam.2014@sis.eunoia.edu.sg,F,2.66
Radhalakshmi Pillay,radhalakshmi.pillay.2011@business.eunoia.edu.sg,F,2.66
Perceval Kong,perceval.kong.2010@sis.eunoia.edu.sg,M,2.66
Nilesh Pillay,nilesh.pillay.2014@business.eunoia.edu.sg,F,2.66
Neeraj Pillay,neeraj.pillay.2012@business.eunoia.edu.sg,F,2.66
Narayanan Pillay,narayanan.pillay.2013@business.eunoia.edu.sg,F,2.66
Mitu Pillay,mitu.pillay.2013@business.eunoia.edu.sg,F,2.66
Owen Kong,owen.kong.2013@sis.eunoia.edu.sg,M,2.67
Meg LAM,meg.lam.2011@sis.eunoia.edu.sg,F,2.67
Manjunath Pillay,manjunath.pillay.2010@business.eunoia.edu.sg,F,2.67
Vishruth Pillay,vishruth.pillay.2012@business.eunoia.edu.sg,F,2.68
Vani Pillay,vani.pillay.2014@business.eunoia.edu.sg,F,2.68
Sarwagya Pillay,sarwagya.pillay.2013@business.eunoia.edu.sg,F,2.68
Rukmani Pillay,rukmani.pillay.2013@business.eunoia.edu.sg,F,2.68
Nagaraja Pillay,nagaraja.pillay.2012@business.eunoia.edu.sg,F,2.68
Minnie LAM,minnie.lam.2011@sis.eunoia.edu.sg,F,2.68
Valarie WONG,valarie.wong.2011@law.eunoia.edu.sg,F,2.69
Ruchi Pillay,ruchi.pillay.2013@business.eunoia.edu.sg,F,2.69
Nancy LAM,nancy.lam.2013@sis.eunoia.edu.sg,F,2.69
Megha Pillay,megha.pillay.2013@business.eunoia.edu.sg,F,2.69
Marjory LAM,marjory.lam.2011@sis.eunoia.edu.sg,F,2.69
Margery LAM,margery.lam.2010@sis.eunoia.edu.sg,F,2.69
Nutan Pillay,nutan.pillay.2013@business.eunoia.edu.sg,F,2.7
Manpreet Pillay,manpreet.pillay.2010@business.eunoia.edu.sg,F,2.7
Uday Pillay,uday.pillay.2011@business.eunoia.edu.sg,F,2.71
Soumitra Pillay,soumitra.pillay.2012@business.eunoia.edu.sg,F,2.71
Rohit Pillay,rohit.pillay.2013@business.eunoia.edu.sg,F,2.71
Priscilla LAM,priscilla.lam.2013@sis.eunoia.edu.sg,F,2.71
Nanette LAM,nanette.lam.2014@sis.eunoia.edu.sg,F,2.71
Neelima Pillay,neelima.pillay.2011@business.eunoia.edu.sg,F,2.72
Nathanie Kong,nathanie.kong.2010@sis.eunoia.edu.sg,M,2.72
Wallace Kong,wallace.kong.2012@sis.eunoia.edu.sg,M,2.73
Sean Kong,sean.kong.2013@sis.eunoia.edu.sg,M,2.73
Zen WONG,zen.wong.2014@law.eunoia.edu.sg,M,2.74
Tilly LAM,tilly.lam.2010@sis.eunoia.edu.sg,F,2.74
Minette LAM,minette.lam.2011@sis.eunoia.edu.sg,F,2.74
Marvin Kong,marvin.kong.2014@sis.eunoia.edu.sg,M,2.74
Mandira Pillay,mandira.pillay.2010@business.eunoia.edu.sg,F,2.74
Shreyas Pillay,shreyas.pillay.2010@business.eunoia.edu.sg,F,2.75
Pia LAM,pia.lam.2014@sis.eunoia.edu.sg,F,2.75
Padma Pillay,padma.pillay.2013@business.eunoia.edu.sg,F,2.75
Mervin Kong,mervin.kong.2013@sis.eunoia.edu.sg,M,2.75
Melissa LAM,melissa.lam.2014@sis.eunoia.edu.sg,F,2.75
Mangesh Pillay,mangesh.pillay.2011@business.eunoia.edu.sg,F,2.75
Yeshoda Pillay,yeshoda.pillay.2012@business.eunoia.edu.sg,F,2.76
Shivani Pillay,shivani.pillay.2013@business.eunoia.edu.sg,F,2.76
Nan LAM,nan.lam.2010@sis.eunoia.edu.sg,F,2.76
Marcus Kong,marcus.kong.2012@sis.eunoia.edu.sg,M,2.76
Walter Kong,walter.kong.2012@sis.eunoia.edu.sg,M,2.77
Sebastian Kong,sebastian.kong.2013@sis.eunoia.edu.sg,M,2.77
Paul Kong,paul.kong.2011@sis.eunoia.edu.sg,M,2.77
Narendra Pillay,narendra.pillay.2013@business.eunoia.edu.sg,F,2.77
Ursula LAM,ursula.lam.2014@sis.eunoia.edu.sg,F,2.78
Trilokesh Pillay,trilokesh.pillay.2013@business.eunoia.edu.sg,F,2.78
